advertise,B_size,Dining_1,Dining_2,Dining_3,Campaign,Opening,Batching_1,Batching_2,Batching_3,Profit
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 8,523.13
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,None,492.03
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,4 share a table,447.06
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,Tables of 4 to 8,484.37
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,Tables of 8,476.96
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,None,410.32
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,4 share a table,480.07
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,Tables of 4 to 8,503.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,Tables of 8,499.2
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,None,461.04
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,4 share a table,474.63
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,473.11
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 8,471.44
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,None,478.44
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,4 share a table,429.21
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,Tables of 4 to 8,463.97
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,Tables of 8,463.11
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,None,365.39
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,485.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 4 to 8,480.17
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,476.74
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,None,488.97
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,4 share a table,424.52
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,Tables of 4 to 8,474.92
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,Tables of 8,464.48
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,None,370.99
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,4 share a table,469.87
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,Tables of 4 to 8,477.96
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,Tables of 8,478.71
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,4 share a table,413.17
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,Tables of 4 to 8,461.09
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,Tables of 8,453.06
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,None,410.32
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,None,461.04
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,None,479.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,None,479.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,None,349.09
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 4 to 8,528.31
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,4 share a table,517.63
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,485.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,4 share a table,515.22
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,4 share a table,478.1
0.2,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,453.94
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,473.11
0,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,437.76
0.1,31,45 minutes,60 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,258.5
0.1,31,45 minutes,60 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,276.9
0.1,31,45 minutes,45 minutes,45 minutes,Awareness,270,Tables of 8,Tables of 8,Tables of 8,194.96
0.1,31,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,296.57
2.1,71,47 minutes,45 minutes,67 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,637.86
1.6,79,45 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,599.25
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,4 share a table,4 share a table,Tables of 8,365.32
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 4 to 8,Tables of 4 to 8,Tables of 8,508.33
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,None,581.49
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 4 to 8,626.97
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,459.16
2.2,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,608.41
2,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,608.58
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
2.1,63,48 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,626.79
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
2.1,63,46 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.68
2.1,63,46 minutes,46 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,630.49
2.1,63,46 minutes,45 minutes,74 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.66
2.1,63,46 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.68
2.1,63,45 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,632.86
2.1,63,45 minutes,45 minutes,74 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,632.85
2.1,63,45 minutes,45 minutes,70 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,632.79
2.1,63,45 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,632.65
2,63,45 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,610.96
2.2,63,45 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,608.36
2.1,63,45 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,632.86
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.2,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,565.13
2,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,550.3
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,4 share a table,579.05
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 4 to 8,Tables of 8,4 share a table,562.55
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,4 share a table,Tables of 8,Tables of 4 to 8,508.93
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,562.15
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,None,Tables of 8,None,419.71
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,50 minutes,60 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,488.41
2.1,31,50 minutes,50 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,565.58
2.1,31,50 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,50 minutes,45 minutes,45 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,50 minutes,45 minutes,55 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,50 minutes,45 minutes,70 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,50 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,50 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,51 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.26
2.1,31,50 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.83
2.1,31,49 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,579.04
2.1,31,48 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.98
2.1,31,47 minutes,46 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.43
2.1,31,47 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.94
2.1,31,48 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.98
2.1,31,60 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,549.39
2.1,31,45 minutes,45 minutes,60 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.9
2.1,31,45 minutes,45 minutes,45 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.9
2.1,31,45 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.9
2.1,31,45 minutes,45 minutes,70 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.9
2.1,31,45 minutes,45 minutes,47 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.9
2.1,31,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,578.94
2.1,63,47 minutes,45 minutes,74 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.9
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
2.1,63,47 minutes,46 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,632.06
